_id,name,email,role,password,createdAt,updatedAt,__v,isAdmin,chartData
5e112b41107dd83dc5a25e76,Admin,admin@gmail.com,admin,admin,Sun Jan 05 2020 02:18:09 GMT+0200 (Eastern European Standard Time),Wed Jan 15 2020 22:48:59 GMT+0200 (Eastern European Standard Time),0,true,
5e19895ee252bb287063ca22,adasdmds,asd@asd.com,author,123123,Sat Jan 11 2020 10:37:50 GMT+0200 (Eastern European Standard Time),Wed Jan 15 2020 11:17:08 GMT+0200 (Eastern European Standard Time),0,,
5e22dc901e787e49fb40c6d8,asdasd,asd@asd.asd,author,123,Sat Jan 18 2020 12:23:12 GMT+0200 (Eastern European Standard Time),Sat Jan 18 2020 12:23:12 GMT+0200 (Eastern European Standard Time),0,,
5e3536f1c233f24b8142c144,qwe,qwe@asd.com,author,$2b$10$kcPUyvf9DTEIN6IxUHWsCetxs9l8s4JhZE6KarqD0C//zgbIqta8m,Sat Feb 01 2020 10:29:37 GMT+0200 (Eastern European Standard Time),Sat Feb 01 2020 10:29:37 GMT+0200 (Eastern European Standard Time),0,,"{""sales"":86.8804100004908,""expenses"":43.91585871481944,""profit"":11.301344314517703}"
5e3537c71839e54e1ac9988f,Admin,admin@gmail.com,admin,$2b$10$HXcCHIsBEraWwJ3RYkQGSeA4MuGZJPaXY/1ONs8mCX2pN1O21N/pO,Sat Feb 01 2020 10:33:11 GMT+0200 (Eastern European Standard Time),Sat Feb 01 2020 10:33:11 GMT+0200 (Eastern European Standard Time),0,true,
5e3606ef3a392d156086890a,Scott,gesilenir@odu.de,author,password,Sun Sep 27 2020 00:00:00 GMT+0300 (Eastern European Summer Time),Mon Dec 03 1906 00:00:00 GMT+0202 (Eastern European Standard Time),0,false,"{""sales"":55.19768347982919,""expenses"":77.97309299783448,""profit"":17.608701703608375}"
5e3606ef3a392d156086890b,Fred,mim@ratek.er,author,password,Thu Aug 25 2011 00:00:00 GMT+0300 (Eastern European Summer Time),Tue Aug 23 1949 00:00:00 GMT+0300 (Eastern European Summer Time),0,false,"{""sales"":34.15149361483634,""expenses"":99.3982934658506,""profit"":95.34232275155416}"
5e3606ef3a392d156086890c,Duane,zu@gif.ua,author,password,Sat May 06 2056 00:00:00 GMT+0300 (Eastern European Summer Time),Wed Aug 03 1949 00:00:00 GMT+0300 (Eastern European Summer Time),0,false,"{""sales"":31.730764234676023,""expenses"":60.41037178641624,""profit"":72.54127631642385}"
5e3606ef3a392d156086890d,Paul,fela@towwofel.mw,author,password,Wed Sep 18 2013 00:00:00 GMT+0300 (Eastern European Summer Time),Wed Apr 14 2027 00:00:00 GMT+0300 (Eastern European Summer Time),0,false,"{""sales"":11.154377698979578,""expenses"":0.3973261620863866,""profit"":14.48702500572101}"
5e3606ef3a392d156086890e,Jeffery,secrewsot@paat.mw,author,password,Wed Nov 21 1979 00:00:00 GMT+0300 (Eastern European Standard Time),Fri Sep 04 2009 00:00:00 GMT+0300 (Eastern European Summer Time),0,false,"{""sales"":97.68373904666477,""expenses"":85.30452264449015,""profit"":14.482310685779831}"
5e3606ef3a392d156086890f,Hunter,piog@ersabi.th,author,password,Thu Mar 10 2022 00:00:00 GMT+0200 (Eastern European Standard Time),Tue Oct 10 1989 00:00:00 GMT+0300 (Eastern European Standard Time),0,false,"{""sales"":68.52089027028929,""expenses"":22.691228494731842,""profit"":71.49057181995519}"
5e3606ef3a392d1560868910,Tillie,tekcov@icwopug.dj,author,password,Tue Oct 03 1950 00:00:00 GMT+0300 (Eastern European Summer Time),Mon Sep 15 1941 00:00:00 GMT+0300 (Eastern European Summer Time),0,false,"{""sales"":57.14973128299072,""expenses"":64.98009035613548,""profit"":74.25069255046239}"
5e3606ef3a392d1560868911,Brandon,rowoh@num.ci,author,password,Thu May 06 2060 00:00:00 GMT+0300 (Eastern European Summer Time),Sun May 16 1976 00:00:00 GMT+0300 (Eastern European Standard Time),0,false,"{""sales"":19.287489539499102,""expenses"":94.50508923372058,""profit"":67.85519089500438}"
5e3606ef3a392d1560868912,Lawrence,bewjul@kejpove.so,author,password,Tue Apr 09 2047 00:00:00 GMT+0300 (Eastern European Summer Time),Sun Jun 16 2002 00:00:00 GMT+0300 (Eastern European Summer Time),0,false,"{""sales"":23.92508387007566,""expenses"":50.33627222483583,""profit"":92.97579941439287}"
5e3606ef3a392d1560868913,Esther,mablahib@vifal.eu,author,password,Tue Feb 11 1975 00:00:00 GMT+0300 (Eastern European Standard Time),Wed May 21 1958 00:00:00 GMT+0300 (Eastern European Summer Time),0,false,"{""sales"":85.74510153612816,""expenses"":54.39612451073368,""profit"":35.5539167108178}"
5e3606ef3a392d1560868914,Eula,delkud@uwu.ir,author,password,Wed Apr 28 1926 00:00:00 GMT+0200 (Eastern European Summer Time),Sun May 05 1929 00:00:00 GMT+0200 (Eastern European Summer Time),0,false,"{""sales"":86.22935028577179,""expenses"":84.60388649105752,""profit"":10.27358904264528}"
5e3606ef3a392d1560868915,Alberta,so@ajovaloda.lt,author,password,Sat Nov 18 2056 00:00:00 GMT+0200 (Eastern European Standard Time),Sun Apr 07 2052 00:00:00 GMT+0300 (Eastern European Summer Time),0,false,"{""sales"":78.89844964030392,""expenses"":64.57807997838809,""profit"":74.97118277865911}"
5e3606ef3a392d1560868916,Victoria,sug@en.is,author,password,Mon Dec 14 1953 00:00:00 GMT+0300 (Eastern European Standard Time),Sat Jul 07 1973 00:00:00 GMT+0300 (Eastern European Standard Time),0,false,"{""sales"":85.71710284302749,""expenses"":91.71646905843176,""profit"":34.666309110587676}"
5e3606ef3a392d1560868917,Don,pudiwe@bi.bi,author,password,Mon Jul 20 1953 00:00:00 GMT+0300 (Eastern European Summer Time),Sun Apr 04 2049 00:00:00 GMT+0300 (Eastern European Summer Time),0,false,"{""sales"":19.41706231319951,""expenses"":17.04041452510763,""profit"":3.635887118304182}"
5e3606ef3a392d1560868918,Eula,temjih@docacfik.il,author,password,Thu Aug 03 1989 00:00:00 GMT+0400 (Eastern European Summer Time),Thu Feb 22 1900 00:00:00 GMT+0202 (Eastern European Standard Time),0,false,"{""sales"":97.77541279143213,""expenses"":43.76211786331567,""profit"":92.32681427063099}"
5e3606ef3a392d1560868919,Olivia,tonwuc@javwekja.sj,author,password,Sat Nov 10 1951 00:00:00 GMT+0300 (Eastern European Standard Time),Wed Sep 04 1940 00:00:00 GMT+0300 (Eastern European Summer Time),0,false,"{""sales"":47.017526655351084,""expenses"":80.81160504888074,""profit"":14.136353846869687}"
5e3606ef3a392d156086891a,Elva,tehsic@timulunu.kr,author,password,Thu Jun 30 1904 00:00:00 GMT+0202 (Eastern European Summer Time),Fri Feb 12 2066 00:00:00 GMT+0200 (Eastern European Standard Time),0,false,"{""sales"":42.767847660133725,""expenses"":67.56227424214099,""profit"":22.317980694668083}"
5e3606ef3a392d156086891b,Vincent,nos@go.mh,author,password,Sat Apr 19 1969 00:00:00 GMT+0300 (Eastern European Summer Time),Sun Jun 03 1945 00:00:00 GMT+0300 (Eastern European Summer Time),0,false,"{""sales"":63.4225552791593,""expenses"":22.163834169582607,""profit"":64.62389301195086}"
